,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$5606.23,Bitcoin,1,"16,629,550","$1,833,480,000","$93,229,082,097"
1,ETH,$316.15,Ethereum,2,"95,157,939","$481,543,000","$30,083,896,891"
2,XRP,$0.222939,Ripple,3,"38,531,538,922*","$384,368,000","$8,590,182,756"
3,BCH,$363.29,Bitcoin Cash,4,"16,702,663","$909,602,000","$6,067,843,449"
4,LTC,$60.42,Litecoin,5,"53,419,932","$201,962,000","$3,227,381,240"
5,DASH,$300.33,Dash,6,"7,627,334","$43,206,900","$2,290,740,038"
6,XEM,$0.218177,NEM,7,"8,999,999,999*","$4,968,250","$1,963,593,000"
7,NEO,$31.64,NEO,8,"50,000,000*","$72,365,200","$1,582,025,000"
8,XMR,$91.83,Monero,9,"15,231,533","$42,617,000","$1,398,649,206"
9,BCC,$193.80,BitConnect,10,"7,194,432","$13,953,400","$1,394,266,492"
10,MIOTA,$0.437470,IOTA,11,"2,779,530,283*","$7,055,470","$1,215,961,113"
11,ETC,$11.88,Ethereum Classic,12,"96,557,147","$72,888,000","$1,147,089,251"
12,OMG,$8.04,OmiseGO,13,"98,312,024*","$23,117,700","$790,058,037"
13,QTUM,$12.16,Qtum,14,"59,000,000*","$53,687,900","$717,345,600"
14,ADA,$0.027096,Cardano,15,"25,927,070,538*","$7,313,760","$702,517,311"
15,XLM,$0.042242,Stellar Lumens,16,"16,587,810,833*","$135,846,000","$700,695,670"
16,LSK,$5.12,Lisk,17,"113,667,260*","$7,637,890","$582,485,601"
17,ZEC,$233.27,Zcash,18,"2,420,106","$58,796,700","$564,528,505"
18,USDT,$1.00,Tether,19,"437,061,677*","$212,236,000","$437,787,200"
19,WAVES,$3.94,Waves,20,"100,000,000*","$5,233,330","$393,785,000"
20,HSR,$10.60,Hshare,21,"33,736,424","$17,544,800","$357,741,040"
21,STRAT,$3.00,Stratis,22,"98,585,829*","$6,013,660","$295,924,098"
22,ARK,$2.82,Ark,23,"97,981,284*","$1,715,750","$276,705,025"
23,STEEM,$1.05,Steem,24,"244,035,996","$1,030,480","$257,343,279"
24,BCN,$0.001393,Bytecoin,25,"183,253,534,612","$1,051,090","$255,288,667"
25,ARDR,$0.239507,Ardor,26,"998,999,495*","$1,070,360","$239,267,372"
26,EOS,$0.551826,EOS,27,"411,518,149*","$6,356,140","$227,086,414"
27,REP,$18.77,Augur,28,"11,000,000*","$615,121","$206,510,700"
28,PIVX,$3.78,PIVX,29,"54,523,599*","$1,282,430","$206,131,919"
29,GAS,$22.45,Gas,30,"8,597,035*","$1,075,690","$192,993,988"
30,PAY,$1.82,TenX,31,"104,661,310*","$1,869,280","$190,017,841"
31,GNT,$0.215510,Golem,32,"833,032,000*","$1,964,450","$179,526,726"
32,MAID,$0.395615,MaidSafeCoin,33,"452,552,412*","$1,547,100","$179,036,522"
33,KMD,$1.72,Komodo,34,"100,945,510","$644,798","$173,925,076"
34,MONA,$3.15,MonaCoin,35,"54,690,025","$4,081,840","$172,081,616"
35,DCR,$28.77,Decred,36,"5,976,445","$587,396","$171,925,598"
36,FRST,$13.55,FirstCoin,37,"12,400,981","$2,014,970","$168,092,824"
37,BAT,$0.167848,Basic Attenti...,38,"1,000,000,000*","$4,512,260","$167,848,000"
38,SALT,$3.06,SALT,39,"54,675,000*","$6,018,630","$167,193,416"
39,WTC,$6.07,Walton,40,"24,898,178*","$9,583,780","$151,013,923"
40,VERI,$73.07,Veritaseum,41,"2,016,034*","$381,491","$147,311,435"
41,MTL,$7.63,Metal,42,"19,300,994*","$1,861,530","$147,292,641"
42,KNC,$1.08,Kyber Network,43,"134,132,697*","$1,528,060","$144,907,576"
43,BTS,$0.055513,BitShares,44,"2,600,660,000*","$5,288,990","$144,370,959"
44,FCT,$16.08,Factom,45,"8,745,102*","$1,586,630","$140,623,864"
45,DGD,$70.07,DigixDAO,46,"2,000,000*","$138,347","$140,144,600"
46,ICN,$1.38,Iconomi,47,"99,900,350*","$587,642","$137,550,794"
