,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$5606.00,BTCBitcoin,1,"16,644,150","$2,786,760,000","$93,307,104,900"
1,ETH,$303.98,ETHEthereum,2,"95,299,969","$710,005,000","$28,969,570,381"
2,XRP,$0.209611,XRPRipple,3,"38,531,538,922*","$226,172,000","$8,076,634,405"
3,BCH,$328.57,BCHBitcoin Cash,4,"16,710,938","$273,881,000","$5,490,796,289"
4,LTC,$57.57,LTCLitecoin,5,"53,520,532","$207,416,000","$3,081,305,498"
5,DASH,$295.98,DASHDash,6,"7,641,060","$65,013,600","$2,261,562,691"
6,XEM,$0.208953,XEMNEM,7,"8,999,999,999*","$5,810,780","$1,880,577,000"
7,NEO,$31.06,NEONEO,8,"50,000,000*","$77,442,500","$1,553,235,000"
8,BCC,$195.79,BCCBitConnect,9,"7,251,308","$12,487,800","$1,419,726,266"
9,XMR,$88.74,XMRMonero,10,"15,262,070","$41,684,700","$1,354,424,810"
10,MIOTA,$0.464216,MIOTAIOTA,11,"2,779,530,283*","$47,777,900","$1,290,302,430"
11,ETC,$10.70,ETCEthereum Classic,12,"96,776,722","$43,008,900","$1,035,201,240"
12,QTUM,$10.79,QTUMQtum,13,"73,611,052*","$118,555,000","$794,594,501"
13,OMG,$7.98,OMGOmiseGO,14,"98,312,024*","$54,522,100","$784,863,229"
14,ADA,$0.027947,ADACardano,15,"25,927,070,538*","$8,114,410","$724,586,433"
15,XLM,$0.040861,XLMStellar Lumens,16,"16,587,941,140*","$67,370,500","$677,801,522"
16,LSK,$5.51,LSKLisk,17,"113,967,620*","$16,735,000","$628,244,226"
17,ZEC,$217.00,ZECZcash,18,"2,469,819","$39,073,100","$535,943,259"
18,USDT,$1.00,USDTTether,19,"437,061,167*","$253,848,000","$438,009,590"
19,WAVES,$3.82,WAVESWaves,20,"100,000,000*","$9,095,470","$381,692,000"
20,STRAT,$3.78,STRATStratis,21,"98,594,824*","$16,917,900","$372,281,239"
21,HSR,$10.05,HSRHshare,22,"33,764,741","$14,964,900","$339,291,751"
22,ARK,$2.84,ARKArk,23,"97,981,284*","$3,885,730","$278,075,783"
23,BCN,$0.001400,BCNBytecoin,24,"183,253,534,612","$4,933,140","$256,606,259"
24,STEEM,$0.997675,STEEMSteem,25,"244,735,874","$1,423,600","$244,166,863"
25,EOS,$0.521653,EOSEOS,26,"425,520,611*","$7,184,070","$221,974,103"
26,MONA,$3.97,MONAMonaCoin,27,"54,848,600","$8,226,460","$217,788,433"
27,ARDR,$0.213692,ARDRArdor,28,"998,999,495*","$1,384,550","$213,478,200"
28,WTC,$8.19,WTCWalton,29,"24,898,178*","$14,220,300","$204,001,479"
29,REP,$17.83,REPAugur,30,"11,000,000*","$1,415,900","$196,157,500"
30,PAY,$1.87,PAYTenX,31,"104,661,310*","$3,166,160","$195,862,129"
31,PIVX,$3.47,PIVXPIVX,32,"55,390,583*","$640,233","$192,277,330"
32,KMD,$1.87,KMDKomodo,33,"100,945,510","$3,057,230","$188,288,613"
33,GAS,$21.32,GASGas,34,"8,597,035*","$1,617,000","$183,268,162"
34,FRST,$13.93,FRSTFirstCoin,35,"12,400,981","$1,643,300","$172,709,709"
35,TRX,$0.002625,TRXTRON,36,"65,428,192,465*","$289,840","$171,775,176"
36,GNT,$0.204982,GNTGolem,37,"833,032,000*","$2,611,470","$170,756,565"
37,MAID,$0.367118,MAIDMaidSafeCoin,38,"452,552,412*","$1,985,490","$166,140,136"
38,DCR,$27.46,DCRDecred,39,"6,022,815","$1,163,830","$165,415,400"
39,BAT,$0.158206,BATBasic Attenti...,40,"1,000,000,000*","$3,337,080","$158,206,000"
40,MTL,$8.17,MTLMetal,41,"19,300,994*","$3,428,430","$157,694,525"
41,SALT,$3.18,SALTSALT,42,"46,751,837*","$7,103,020","$148,856,914"
42,KNC,$1.10,KNCKyber Network,43,"134,132,697*","$2,789,800","$147,156,982"
43,PPT,$3.52,PPTPopulous,44,"41,252,246*","$297,509","$145,066,411"
44,VTC,$3.54,VTCVertcoin,45,"40,613,200","$23,414,100","$143,729,303"
45,BTS,$0.055066,BTSBitShares,46,"2,600,890,000*","$3,491,070","$143,221,129"
