,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$6063.04,Bitcoin,1,"16,637,575","$2,243,600,000","$100,874,282,728"
1,ETH,$293.61,Ethereum,2,"95,235,771","$416,165,000","$27,961,793,817"
2,XRP,$0.200774,Ripple,3,"38,531,538,922*","$126,104,000","$7,736,131,196"
3,BCH,$317.46,Bitcoin Cash,4,"16,707,675","$132,366,000","$5,304,085,336"
4,LTC,$56.83,Litecoin,5,"53,475,582","$145,770,000","$3,039,236,596"
5,DASH,$272.08,Dash,6,"7,634,872","$45,473,800","$2,077,273,061"
6,XEM,$0.202364,NEM,7,"8,999,999,999*","$4,671,200","$1,821,276,000"
7,BCC,$207.57,BitConnect,8,"7,229,551","$11,662,200","$1,500,659,605"
8,XMR,$86.75,Monero,9,"15,248,278","$28,190,900","$1,322,714,950"
9,NEO,$26.28,NEO,10,"50,000,000*","$34,197,600","$1,313,870,000"
10,ETC,$10.79,Ethereum Classic,11,"96,677,699","$22,264,600","$1,043,287,721"
11,MIOTA,$0.370080,IOTA,12,"2,779,530,283*","$19,410,300","$1,028,648,567"
12,QTUM,$10.55,Qtum,13,"73,603,584*","$60,256,000","$776,451,568"
13,ADA,$0.028148,Cardano,14,"25,927,070,538*","$5,671,930","$729,789,996"
14,OMG,$7.03,OmiseGO,15,"98,312,024*","$19,218,300","$690,908,394"
15,LSK,$4.57,Lisk,16,"113,832,120*","$9,852,060","$520,530,380"
16,ZEC,$210.22,Zcash,17,"2,447,381","$38,663,600","$514,486,039"
17,XLM,$0.026597,Stellar Lumens,18,"16,587,814,333*","$28,077,400","$441,192,733"
18,USDT,$0.998606,Tether,19,"437,061,167*","$176,160,000","$436,451,904"
19,HSR,$10.65,Hshare,20,"33,752,008","$12,955,200","$359,590,518"
20,WAVES,$3.43,Waves,21,"100,000,000*","$11,545,600","$342,583,000"
21,BCN,$0.001500,Bytecoin,22,"183,253,534,612","$701,590","$274,955,436"
22,STRAT,$2.73,Stratis,23,"98,590,776*","$5,917,850","$269,022,679"
23,ARK,$2.42,Ark,24,"97,981,284*","$2,132,880","$236,899,148"
24,STEEM,$0.916098,Steem,25,"244,322,177","$1,079,690","$223,823,057"
25,EOS,$0.518974,EOS,26,"419,766,824*","$6,752,600","$217,848,068"
26,ARDR,$0.200726,Ardor,27,"998,999,495*","$1,247,880","$200,525,173"
27,REP,$16.37,Augur,28,"11,000,000*","$643,451","$180,051,300"
28,FRST,$14.44,FirstCoin,29,"12,400,981","$1,509,540","$179,085,053"
29,PAY,$1.68,TenX,30,"104,661,310*","$2,056,680","$175,447,940"
30,GNT,$0.196962,Golem,31,"833,032,000*","$4,278,590","$164,075,649"
31,PIVX,$2.99,PIVX,32,"54,733,661*","$579,949","$163,679,919"
32,WTC,$6.53,Walton,33,"24,898,178*","$10,948,600","$162,658,303"
33,KMD,$1.60,Komodo,34,"100,945,510","$1,063,060","$161,369,473"
34,GAS,$18.15,Gas,35,"8,597,035*","$439,290","$156,039,631"
35,MAID,$0.327090,MaidSafeCoin,36,"452,552,412*","$2,242,090","$148,025,368"
36,DCR,$23.20,Decred,37,"6,001,785","$972,437","$139,247,421"
37,MONA,$2.52,MonaCoin,38,"54,777,325","$1,882,300","$138,310,554"
38,BAT,$0.135267,Basic Attenti...,39,"1,000,000,000*","$2,229,880","$135,267,000"
39,BTS,$0.051928,BitShares,40,"2,600,830,000*","$3,547,580","$135,056,420"
40,KNC,$0.993162,Kyber Network,41,"134,132,697*","$1,205,730","$133,215,498"
41,TRX,$0.002012,TRON,42,"65,425,271,465*","$186,889","$131,637,609"
42,DGD,$63.74,DigixDAO,43,"2,000,000*","$168,250","$127,471,400"
43,FCT,$14.45,Factom,44,"8,745,102*","$2,178,350","$126,360,602"
44,PPT,$2.95,Populous,45,"41,252,246*","$274,529","$121,499,828"
45,MTL,$6.22,Metal,46,"19,300,994*","$2,148,220","$120,028,635"
46,GAME,$1.86,GameCredits,47,"64,355,352","$1,153,030","$119,676,500"
47,VERI,$58.39,Veritaseum,48,"2,026,045*","$300,789","$118,306,669"
48,SALT,$2.49,SALT,49,"46,751,837*","$4,721,390","$116,391,036"
49,BLOCK,$23.98,Blocknet,50,"4,850,794*","$320,360","$116,330,280"
50,BNB,$1.17,Binance Coin,51,"99,014,000*","$1,351,410","$115,872,124"
51,ICN,$1.16,Iconomi,52,"99,900,350*","$658,679","$115,387,901"
52,REC,$40.52,Regalcoin,53,"2,810,000","$5,079,940","$113,862,886"
53,ETP,$4.89,Metaverse ETP,54,"22,600,000","$21,618,400","$110,443,036"
54,DOGE,$0.000988,Dogecoin,55,"111,588,054,993","$3,279,850","$110,257,033"
55,SC,$0.003592,Siacoin,56,"30,277,985,379","$1,748,920","$108,744,293"
56,VTC,$2.64,Vertcoin,57,"40,519,700","$13,623,400","$107,127,198"
57,GBYTE,$182.15,Byteball Bytes,58,"583,896*","$233,247","$106,359,082"
58,CVC,$0.301182,Civic,59,"340,200,000*","$1,809,090","$102,462,116"
59,LKK,$0.377972,Lykke,60,"269,048,405*","$71,931","$101,692,764"
60,ZRX,$0.198384,0x,61,"500,000,000*","$1,602,820","$99,192,000"
61,BTCD,$75.52,BitcoinDark,62,"1,288,862","$61,341","$97,339,254"
62,SNT,$0.025447,Status,63,"3,470,483,788*","$1,515,570","$88,312,360"
63,SYS,$0.165309,Syscoin,64,"528,324,984","$951,382","$87,336,875"
64,ATM,$0.029297,ATMChain,65,"2,913,534,434*","$13,643,900","$85,358,692"
65,BNT,$1.96,Bancor,66,"40,772,871*","$992,978","$79,887,101"
66,BTM,$0.080322,Bytom,67,"987,000,000*","$74,593","$79,278,110"
67,LINK,$0.224424,ChainLink,68,"350,000,000*","$5,763,300","$78,548,400"
68,SNGLS,$0.129515,SingularDTV,69,"600,000,000*","$644,395","$77,709,000"
69,GNO,$69.36,Gnosis,70,"1,104,590*","$632,114","$76,609,834"
70,MCAP,$2.00,MCAP,71,"38,295,641*","$914,817","$76,577,496"
71,DGB,$0.008442,DigiByte,72,"8,742,253,657","$2,720,880","$73,799,133"
72,MCO,$7.49,Monaco,73,"9,814,875*","$2,494,830","$73,468,954"
73,AE,$0.293822,Aeternity,74,"233,020,472*","$579,779","$68,466,541"
74,VEN,$0.245889,VeChain,75,"277,162,633*","$434,036","$68,151,243"
75,PURA,$0.396893,Pura,76,"171,553,167","$138,355","$68,088,251"
76,FUN,$0.017004,FunFair,77,"4,000,000,000*","$1,304,970","$68,016,800"
77,GXS,$1.62,GXShares,78,"40,510,000*","$2,068,890","$65,755,427"
78,BDL,$0.416250,Bitdeal,79,"156,209,812","$324,833","$65,022,334"
79,NXS,$1.19,Nexus,80,"53,237,411","$223,803","$63,205,052"
80,XVG,$0.004317,Verge,81,"14,138,580,569","$1,530,080","$61,033,990"
81,NXT,$0.059178,Nxt,82,"998,999,942*","$2,376,600","$59,118,319"
82,ATB,$1.41,ATBCoin,83,"38,443,222","$471,570","$54,269,143"
83,SMART,$0.067802,SmartCash,84,"724,714,095*","$62,099","$49,137,065"
84,TAAS,$6.01,TaaS,85,"8,146,001*","$283,267","$48,995,099"
85,NLC2,$0.238067,NoLimitCoin,86,"204,013,869*","$178,503","$48,568,970"
