,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$7098.14,BTCBitcoin,1,"16,667,262","$3,114,630,000","$118,306,559,093"
1,ETH,$300.19,ETHEthereum,2,"95,566,117","$565,763,000","$28,687,897,058"
2,BCH,$618.00,BCHBitcoin Cash,3,"16,766,875","$804,943,000","$10,362,012,584"
3,XRP,$0.206956,XRPRipple,4,"38,531,538,922*","$100,312,000","$7,974,333,169"
4,LTC,$55.49,LTCLitecoin,5,"53,709,632","$132,946,000","$2,980,411,952"
5,DASH,$278.14,DASHDash,6,"7,672,961","$59,309,500","$2,134,195,795"
6,NEO,$26.30,NEONEO,7,"65,000,000*","$26,619,100","$1,709,435,000"
7,XEM,$0.182343,XEMNEM,8,"8,999,999,999*","$12,233,900","$1,641,087,000"
8,XMR,$97.56,XMRMonero,9,"15,318,694","$90,628,600","$1,494,497,886"
9,ETC,$14.88,ETCEthereum Classic,10,"97,192,097","$442,762,000","$1,446,179,527"
10,MIOTA,$0.368823,MIOTAIOTA,11,"2,779,530,283*","$12,950,800","$1,025,154,698"
11,QTUM,$10.71,QTUMQtum,12,"73,642,320*","$117,217,000","$788,989,088"
12,OMG,$6.50,OMGOmiseGO,13,"102,042,552*","$20,517,300","$663,555,163"
13,ZEC,$230.00,ZECZcash,14,"2,563,469","$48,522,100","$589,590,122"
14,ADA,$0.022505,ADACardano,15,"25,927,070,538*","$4,763,670","$583,493,908"
15,BCC,$265.14,BCCBitConnect,16,"2,138,092","$19,500,000","$566,889,437"
16,LSK,$4.54,LSKLisk,17,"114,532,960*","$8,131,030","$519,513,489"
17,USDT,$1.00,USDTTether,18,"494,061,667*","$301,715,000","$494,950,978"
18,XLM,$0.028466,XLMStellar Lumens,19,"16,588,217,481*","$11,521,900","$472,201,858"
19,EOS,$0.964429,EOSEOS,20,"452,063,224*","$26,091,300","$435,982,883"
20,HSR,$9.45,HSRHshare,21,"42,217,846","$12,796,300","$399,015,643"
21,WAVES,$3.60,WAVESWaves,22,"100,000,000*","$12,511,600","$360,051,000"
22,STRAT,$3.06,STRATStratis,23,"98,611,755*","$7,098,910","$301,861,430"
23,KMD,$2.63,KMDKomodo,24,"100,945,510","$4,754,430","$265,413,001"
24,ARK,$2.52,ARKArk,25,"97,981,284*","$4,983,790","$246,832,491"
25,BCN,$0.001222,BCNBytecoin,26,"183,253,534,612","$2,285,960","$223,882,676"
26,STEEM,$0.855623,STEEMSteem,27,"245,822,767","$829,577","$210,331,613"
27,ARDR,$0.194530,ARDRArdor,28,"998,999,495*","$454,879","$194,335,372"
28,REP,$16.97,REPAugur,29,"11,000,000*","$899,583","$186,639,200"
29,DCR,$28.41,DCRDecred,30,"6,108,905","$790,326","$173,536,888"
30,PAY,$1.62,PAYTenX,31,"104,661,310*","$1,771,210","$169,065,694"
31,PPT,$3.97,PPTPopulous,32,"41,252,246*","$437,764","$163,606,408"
32,GNT,$0.191100,GNTGolem,33,"833,032,000*","$2,569,890","$159,192,415"
33,MAID,$0.346702,MAIDMaidSafeCoin,34,"452,552,412*","$2,444,430","$156,900,826"
34,PIVX,$2.86,PIVXPIVX,35,"54,648,584*","$880,409","$156,498,791"
35,BTCD,$120.24,BTCDBitcoinDark,36,"1,288,862","$224,455","$154,970,211"
36,BTS,$0.059393,BTSBitShares,37,"2,601,550,000*","$2,465,090","$154,513,599"
37,BNB,$1.54,BNBBinance Coin,38,"99,014,000*","$4,870,960","$152,959,798"
38,VTC,$3.70,VTCVertcoin,39,"40,991,200","$11,982,700","$151,553,894"
39,GAS,$17.14,GASGas,40,"8,597,035*","$564,848","$147,359,205"
40,MONA,$2.65,MONAMonaCoin,41,"55,147,025","$2,794,010","$145,964,248"
41,TRX,$0.002159,TRXTRON,42,"65,528,192,465*","$1,743,540","$141,464,883"
42,SALT,$3.01,SALTSALT,43,"46,751,837*","$6,326,620","$140,831,026"
43,BAT,$0.138336,BATBasic Attenti...,44,"1,000,000,000*","$1,547,220","$138,336,000"
44,FCT,$15.70,FCTFactom,45,"8,745,102*","$5,208,750","$137,279,737"
45,KNC,$0.972166,KNCKyber Network,46,"134,132,697*","$1,653,460","$130,399,247"
46,DOGE,$0.001165,DOGEDogecoin,47,"111,811,313,632","$2,037,790","$130,278,070"
47,DGD,$62.57,DGDDigixDAO,48,"2,000,000*","$146,864","$125,139,400"
48,XVG,$0.008605,XVGVerge,49,"14,202,069,485","$15,254,500","$122,211,506"
49,WTC,$4.89,WTCWalton,50,"24,898,178*","$7,822,970","$121,819,813"
50,ETP,$3.09,ETPMetaverse ETP,51,"36,287,516","$6,386,600","$112,182,491"
51,VERI,$54.33,VERIVeritaseum,52,"2,026,045*","$408,441","$110,065,729"
52,SC,$0.003587,SCSiacoin,53,"30,662,555,547","$1,938,580","$109,998,545"
53,GAME,$1.69,GAMEGameCredits,54,"64,355,352","$767,778","$108,785,000"
54,SYS,$0.197145,SYSSyscoin,55,"528,690,418","$1,534,660","$104,228,672"
55,BTM,$0.105014,BTMBytom,56,"987,000,000*","$369,938","$103,648,818"
56,ICN,$1.04,ICNIconomi,57,"99,788,314*","$483,196","$103,478,486"
57,SNT,$0.029596,SNTStatus,58,"3,470,483,788*","$2,299,430","$102,712,438"
58,GBYTE,$156.77,GBYTEByteball Bytes,59,"645,222*","$673,473","$101,150,171"
59,CVC,$0.289202,CVCCivic,60,"342,700,000*","$1,789,730","$99,109,525"
60,MTL,$5.03,MTLMetal,61,"19,300,994*","$1,986,390","$97,064,313"
61,LKK,$0.358202,LKKLykke,62,"269,315,893*","$181,250","$96,469,491"
62,GXS,$2.35,GXSGXShares,63,"40,510,000*","$3,049,800","$95,215,109"
63,SNGLS,$0.155182,SNGLSSingularDTV,64,"600,000,000*","$2,022,170","$93,109,200"
64,BLOCK,$18.78,BLOCKBlocknet,65,"4,873,662*","$126,412","$91,529,318"
65,ZRX,$0.180742,ZRX0x,66,"500,000,000*","$1,098,010","$90,371,000"
66,AE,$0.377323,AEAeternity,67,"233,020,472*","$823,713","$87,923,984"
67,DGB,$0.008622,DGBDigiByte,68,"9,367,216,529","$2,978,680","$80,762,080"
68,BNT,$1.85,BNTBancor,69,"40,772,871*","$1,680,970","$75,565,992"
69,ATM,$0.025877,ATMATMChain,70,"2,913,534,434*","$268,293","$75,393,822"
70,PURA,$0.396070,PURAPura,71,"171,710,869","$89,837","$68,009,524"
71,GNO,$60.92,GNOGnosis,72,"1,104,590*","$360,917","$67,295,710"
72,VEN,$0.236266,VENVeChain,73,"277,162,633*","$1,196,430","$65,484,107"
