,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$6066.26,BTCBitcoin,1,"16,654,462","$2,480,490,000","$101,030,296,652"
1,ETH,$306.18,ETHEthereum,2,"95,417,039","$416,843,000","$29,214,979,950"
2,XRP,$0.203345,XRPRipple,3,"38,531,538,922*","$49,260,800","$7,835,195,782"
3,BCH,$456.30,BCHBitcoin Cash,4,"16,750,338","$1,108,120,000","$7,643,128,750"
4,LTC,$56.65,LTCLitecoin,5,"53,606,032","$152,089,000","$3,036,636,998"
5,DASH,$283.93,DASHDash,6,"7,652,445","$44,245,100","$2,172,743,352"
6,NEO,$28.44,NEONEO,7,"65,000,000*","$33,689,300","$1,848,613,000"
7,XEM,$0.197873,XEMNEM,8,"8,999,999,999*","$4,586,140","$1,780,857,000"
8,BCC,$225.94,BCCBitConnect,9,"7,330,886","$19,804,800","$1,656,354,979"
9,XMR,$89.06,XMRMonero,10,"15,287,151","$32,128,700","$1,361,504,258"
10,MIOTA,$0.394081,MIOTAIOTA,11,"2,779,530,283*","$13,716,100","$1,095,360,073"
11,ETC,$10.89,ETCEthereum Classic,12,"96,958,399","$26,015,700","$1,055,644,265"
12,QTUM,$10.32,QTUMQtum,13,"73,624,812*","$26,651,200","$759,498,836"
13,ADA,$0.027795,ADACardano,14,"25,927,070,538*","$4,387,350","$720,642,926"
14,OMG,$7.21,OMGOmiseGO,15,"98,312,024*","$17,026,600","$708,821,828"
15,ZEC,$238.90,ZECZcash,16,"2,511,156","$51,954,700","$599,915,228"
16,LSK,$4.75,LSKLisk,17,"114,216,240*","$7,359,760","$542,017,736"
17,XLM,$0.031629,XLMStellar Lumens,18,"16,587,937,639*","$20,038,900","$524,654,903"
18,USDT,$1.00,USDTTether,19,"452,061,667*","$239,676,000","$454,073,342"
19,STRAT,$4.13,STRATStratis,20,"98,602,279*","$13,555,400","$407,078,524"
20,WAVES,$3.51,WAVESWaves,21,"100,000,000*","$8,762,270","$350,695,000"
21,HSR,$9.70,HSRHshare,22,"33,767,173","$18,857,200","$327,388,273"
22,EOS,$0.671439,EOSEOS,23,"438,100,668*","$20,907,700","$294,157,874"
