,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$6125.92,BTCBitcoin,1,"16,655,950","$1,634,670,000","$102,033,017,224"
1,ETH,$308.65,ETHEthereum,2,"95,432,283","$309,279,000","$29,455,364,964"
2,XRP,$0.202971,XRPRipple,3,"38,531,538,922*","$30,964,300","$7,820,784,987"
3,BCH,$450.98,BCHBitcoin Cash,4,"16,751,075","$475,812,000","$7,554,366,301"
4,LTC,$56.34,LTCLitecoin,5,"53,617,107","$90,122,400","$3,020,825,361"
5,DASH,$282.71,DASHDash,6,"7,653,918","$39,108,400","$2,163,846,932"
6,NEO,$28.80,NEONEO,7,"65,000,000*","$31,341,800","$1,871,675,000"
7,XEM,$0.199442,XEMNEM,8,"8,999,999,999*","$3,740,270","$1,794,978,000"
8,BCC,$228.25,BCCBitConnect,9,"7,336,533","$21,274,200","$1,674,563,655"
9,XMR,$88.26,XMRMonero,10,"15,290,350","$26,234,700","$1,349,468,148"
10,MIOTA,$0.396226,MIOTAIOTA,11,"2,779,530,283*","$8,663,510","$1,101,322,166"
11,ETC,$10.81,ETCEthereum Classic,12,"96,982,258","$21,678,000","$1,048,513,984"
12,ADA,$0.029962,ADACardano,13,"25,927,070,538*","$4,502,370","$776,816,517"
13,QTUM,$10.44,QTUMQtum,14,"73,626,556*","$20,088,500","$768,374,101"
14,OMG,$7.18,OMGOmiseGO,15,"98,312,024*","$15,801,800","$705,469,388"
15,ZEC,$237.88,ZECZcash,16,"2,516,356","$52,413,700","$598,595,857"
16,LSK,$4.88,LSKLisk,17,"114,248,620*","$7,669,130","$557,438,439"
17,XLM,$0.030566,XLMStellar Lumens,18,"16,588,081,401*","$12,637,800","$507,036,273"
18,USDT,$1.00,USDTTether,19,"452,061,667*","$161,634,000","$452,179,203"
19,STRAT,$3.67,STRATStratis,20,"98,603,247*","$14,799,800","$361,458,798"
20,HSR,$10.47,HSRHshare,21,"33,767,173","$20,303,900","$353,569,313"
21,WAVES,$3.46,WAVESWaves,22,"100,000,000*","$8,410,660","$346,299,000"
22,EOS,$0.680048,EOSEOS,23,"439,471,719*","$13,547,000","$298,861,863"
23,BCN,$0.001355,BCNBytecoin,24,"183,253,534,612","$2,088,040","$248,345,190"
24,KMD,$2.41,KMDKomodo,25,"100,945,510","$3,910,320","$243,073,760"
25,ARK,$2.47,ARKArk,26,"97,981,284*","$1,285,620","$242,443,909"
26,STEEM,$0.967596,STEEMSteem,27,"245,121,713","$709,642","$237,178,789"
27,VTC,$5.35,VTCVertcoin,28,"40,803,000","$25,733,300","$218,442,941"
28,ARDR,$0.196436,ARDRArdor,29,"998,999,495*","$480,786","$196,239,465"
29,REP,$17.71,REPAugur,30,"11,000,000*","$733,896","$194,852,900"
30,PAY,$1.81,PAYTenX,31,"104,661,310*","$1,267,500","$188,998,440"
31,TRX,$0.002789,TRXTRON,32,"65,528,192,465*","$1,289,070","$182,745,678"
32,WTC,$7.04,WTCWalton,33,"24,898,178*","$13,650,100","$175,371,313"
33,PIVX,$3.19,PIVXPIVX,34,"54,606,408*","$502,490","$173,924,139"
34,DCR,$28.36,DCRDecred,35,"6,064,411","$681,568","$171,996,992"
35,MONA,$3.12,MONAMonaCoin,36,"54,996,875","$1,967,500","$171,394,461"
36,MAID,$0.368374,MAIDMaidSafeCoin,37,"452,552,412*","$1,034,850","$166,708,542"
37,BAT,$0.164072,BATBasic Attenti...,38,"1,000,000,000*","$2,105,950","$164,072,000"
38,GAS,$18.68,GASGas,39,"8,597,035*","$772,700","$160,580,585"
39,GNT,$0.191548,GNTGolem,40,"833,032,000*","$1,272,590","$159,565,614"
40,BTS,$0.058029,BTSBitShares,41,"2,601,200,000*","$1,823,350","$150,944,254"
41,MTL,$7.77,MTLMetal,42,"19,300,994*","$5,706,080","$149,933,789"
42,PPT,$3.58,PPTPopulous,43,"41,252,246*","$379,199","$147,516,794"
43,SNT,$0.040948,SNTStatus,44,"3,470,483,788*","$3,645,420","$142,107,982"
44,BTCD,$105.60,BTCDBitcoinDark,45,"1,288,862","$67,628","$136,105,136"
45,BNB,$1.35,BNBBinance Coin,46,"99,014,000*","$3,736,840","$133,261,952"
46,KNC,$0.991101,KNCKyber Network,47,"134,132,697*","$1,884,420","$132,939,050"
47,SALT,$2.82,SALTSALT,48,"46,751,837*","$4,159,760","$131,846,726"
48,FCT,$14.89,FCTFactom,49,"8,745,102*","$3,631,680","$130,175,216"
49,DOGE,$0.001159,DOGEDogecoin,50,"111,727,508,458","$2,497,810","$129,532,404"
50,CVC,$0.361022,CVCCivic,51,"342,700,000*","$3,602,390","$123,722,239"
51,DGD,$61.85,DGDDigixDAO,52,"2,000,000*","$158,961","$123,704,200"
52,GBYTE,$211.81,GBYTEByteball Bytes,53,"583,896*","$374,288","$123,672,197"
53,SYS,$0.231196,SYSSyscoin,54,"528,542,190","$1,503,490","$122,196,840"
54,GAME,$1.89,GAMEGameCredits,55,"64,355,352","$548,213","$121,340,729"
55,SC,$0.003703,SCSiacoin,56,"30,503,787,872","$1,017,120","$112,964,983"
56,ICN,$1.05,ICNIconomi,57,"99,788,314*","$737,220","$105,059,133"
57,VERI,$49.41,VERIVeritaseum,58,"2,026,045*","$729,597","$100,100,827"
58,LKK,$0.363963,LKKLykke,59,"269,119,832*","$40,958","$97,949,661"
59,BLOCK,$19.63,BLOCKBlocknet,60,"4,864,527*","$120,898","$95,506,723"
60,ETP,$4.20,ETPMetaverse ETP,61,"22,600,000","$6,845,770","$94,873,444"
61,ZRX,$0.187453,ZRX0x,62,"500,000,000*","$1,092,670","$93,726,500"
62,MCO,$8.94,MCOMonaco,63,"9,814,875*","$2,878,610","$87,730,164"
63,BTM,$0.088004,BTMBytom,64,"987,000,000*","$366,146","$86,860,343"
64,DGB,$0.009249,DGBDigiByte,65,"9,335,232,228","$1,723,000","$86,338,669"
