,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$5649.53,Bitcoin,1,"16,634,900","$1,569,900,000","$93,979,366,597"
1,ETH,$305.00,Ethereum,2,"95,209,545","$315,927,000","$29,038,816,082"
2,XRP,$0.215721,Ripple,3,"38,531,538,922*","$308,117,000","$8,312,062,108"
3,BCH,$325.24,Bitcoin Cash,4,"16,705,888","$155,772,000","$5,433,389,439"
4,LTC,$58.75,Litecoin,5,"53,456,257","$123,350,000","$3,140,688,761"
5,DASH,$291.06,Dash,6,"7,632,332","$36,677,300","$2,221,481,784"
6,XEM,$0.218095,NEM,7,"8,999,999,999*","$3,595,770","$1,962,855,000"
7,BCC,$199.70,BitConnect,8,"7,219,622","$13,232,700","$1,441,780,253"
8,NEO,$28.80,NEO,9,"50,000,000*","$31,320,700","$1,439,825,000"
9,XMR,$90.15,Monero,10,"15,242,661","$39,514,700","$1,374,106,103"
10,MIOTA,$0.417987,IOTA,11,"2,779,530,283*","$17,301,300","$1,161,807,524"
11,ETC,$11.32,Ethereum Classic,12,"96,636,702","$24,164,200","$1,093,627,893"
12,QTUM,$12.56,Qtum,13,"73,600,468*","$237,729,000","$924,105,396"
13,OMG,$7.69,OmiseGO,14,"98,312,024*","$14,400,800","$756,482,514"
14,ADA,$0.028129,Cardano,15,"25,927,070,538*","$5,450,730","$729,299,974"
15,LSK,$4.93,Lisk,16,"113,776,340*","$12,277,900","$560,768,309"
16,ZEC,$227.36,Zcash,17,"2,438,081","$29,244,500","$554,317,277"
17,XLM,$0.030700,Stellar Lumens,18,"16,587,814,333*","$31,090,100","$509,240,924"
18,USDT,$1.00,Tether,19,"437,061,582*","$127,631,000","$437,249,519"
19,WAVES,$3.88,Waves,20,"100,000,000*","$8,890,080","$387,642,000"
20,HSR,$10.43,Hshare,21,"33,746,754","$9,041,750","$352,137,250"
21,STRAT,$3.11,Stratis,22,"98,589,105*","$7,231,610","$306,576,625"
22,ARK,$2.81,Ark,23,"97,981,284*","$1,779,700","$275,648,787"
23,BCN,$0.001461,Bytecoin,24,"183,253,534,612","$3,057,670","$267,806,715"
24,STEEM,$1.04,Steem,25,"244,203,171","$1,377,810","$254,852,872"
25,GNT,$0.286642,Golem,26,"833,032,000*","$9,951,370","$238,781,959"
26,EOS,$0.566785,EOS,27,"416,715,659*","$6,946,020","$236,188,185"
27,ARDR,$0.219686,Ardor,28,"998,999,495*","$796,683","$219,466,203"
28,PAY,$1.91,TenX,29,"104,661,310*","$1,460,860","$200,134,404"
29,REP,$18.00,Augur,30,"11,000,000*","$709,322","$197,946,100"
30,PIVX,$3.48,PIVX,31,"54,582,596*","$1,341,420","$190,012,935"
31,KMD,$1.86,Komodo,32,"100,945,510","$1,549,550","$188,139,213"
32,WTC,$7.12,Walton,33,"24,898,178*","$8,019,390","$177,189,129"
33,MAID,$0.379285,MaidSafeCoin,34,"452,552,412*","$1,678,690","$171,646,342"
34,FRST,$13.79,FirstCoin,35,"12,400,981","$1,295,000","$170,963,651"
35,GAS,$19.76,Gas,36,"8,597,035*","$660,629","$169,898,912"
36,MONA,$2.97,MonaCoin,37,"54,747,800","$3,672,640","$162,663,926"
37,DCR,$26.48,Decred,38,"5,992,842","$322,326","$158,668,270"
38,SALT,$2.89,SALT,39,"54,675,000*","$4,057,550","$157,876,796"
39,BAT,$0.156642,Basic Attenti...,40,"1,000,000,000*","$1,772,920","$156,642,000"
40,KNC,$1.07,Kyber Network,41,"134,132,697*","$1,597,480","$143,358,344"
41,MTL,$7.22,Metal,42,"19,300,994*","$1,962,180","$139,383,286"
42,FCT,$15.75,Factom,43,"8,745,102*","$1,968,580","$137,772,960"
43,BTS,$0.052129,BitShares,44,"2,600,770,000*","$2,258,560","$135,575,799"
44,ETP,$5.97,Metaverse ETP,45,"22,600,000","$25,597,600","$134,914,090"
45,BNB,$1.32,Binance Coin,46,"100,000,000*","$1,828,690","$131,869,000"
46,ICN,$1.30,Iconomi,47,"99,900,350*","$594,883","$130,189,137"
47,GAME,$2.02,GameCredits,48,"64,355,352","$799,200","$130,068,602"
48,TRX,$0.001988,TRON,49,"65,410,499,999*","$364,349","$130,028,225"
49,DGD,$64.18,DigixDAO,50,"2,000,000*","$158,633","$128,364,000"
50,VERI,$62.59,Veritaseum,51,"2,016,034*","$404,608","$126,173,919"
51,PPT,$2.96,Populous,52,"41,252,246*","$370,641","$122,230,817"
52,SC,$0.004036,Siacoin,53,"30,244,849,209","$939,267","$122,075,773"
53,GBYTE,$203.88,Byteball Bytes,54,"583,896*","$463,050","$119,045,401"
54,DOGE,$0.001044,Dogecoin,55,"111,574,086,814","$2,143,100","$116,453,222"
55,CVC,$0.330922,Civic,56,"340,200,000*","$939,680","$112,579,664"
56,BTCD,$86.33,BitcoinDark,57,"1,288,862","$76,501","$111,269,663"
57,REC,$38.79,Regalcoin,58,"2,810,000","$4,294,690","$109,008,892"
58,ZRX,$0.215215,0x,59,"500,000,000*","$2,360,830","$107,607,500"
59,BLOCK,$20.72,Blocknet,60,"4,848,960*","$72,439","$100,467,052"
60,LKK,$0.370652,Lykke,61,"269,048,898*","$136,731","$99,723,512"
61,SYS,$0.185939,Syscoin,62,"528,295,942","$1,612,560","$98,230,819"
62,LINK,$0.270792,ChainLink,63,"350,000,000*","$6,515,410","$94,777,200"
63,SNT,$0.026532,Status,64,"3,470,483,788*","$1,499,020","$92,078,529"
64,FUN,$0.022233,FunFair,65,"4,000,000,000*","$2,035,370","$88,931,600"
65,SNGLS,$0.142922,SingularDTV,66,"600,000,000*","$1,129,890","$85,753,200"
66,ATM,$0.030395,ATMChain,67,"2,813,534,394*","$2,220,980","$85,517,097"
67,BNT,$2.07,Bancor,68,"40,772,871*","$1,397,210","$84,466,302"
68,BTM,$0.085308,Bytom,69,"987,000,000*","$167,142","$84,198,799"
69,DGB,$0.009524,DigiByte,70,"8,742,253,657","$2,108,730","$83,264,896"
70,MCAP,$2.12,MCAP,71,"38,295,641*","$404,451","$81,347,601"
71,VTC,$2.00,Vertcoin,72,"40,478,550","$7,281,250","$80,884,239"
72,GNO,$73.09,Gnosis,73,"1,104,590*","$603,894","$80,735,588"
73,VEN,$0.287112,VeChain,74,"277,162,633*","$764,321","$79,576,718"
74,AE,$0.324731,Aeternity,75,"233,020,472*","$377,862","$75,668,971"
75,MCO,$7.28,Monaco,76,"9,814,875*","$2,557,210","$71,432,466"
76,GXS,$1.72,GXShares,77,"40,510,000*","$2,240,700","$69,492,880"
77,NXS,$1.30,Nexus,78,"53,208,941","$227,193","$69,392,441"
78,PURA,$0.401033,Pura,79,"171,540,763","$178,462","$68,793,507"
79,XVG,$0.004807,Verge,80,"14,133,463,586","$1,321,410","$67,941,962"
80,NXT,$0.063759,Nxt,81,"998,999,942*","$3,337,950","$63,695,237"
81,BDL,$0.393986,Bitdeal,82,"156,209,812","$139,885","$61,544,479"
82,SMART,$0.085264,SmartCash,83,"714,736,289*","$242,738","$60,941,489"
83,BQX,$0.784641,Bitquence,84,"71,637,960*","$2,066,720","$56,210,081"
84,ANT,$1.70,Aragon,85,"32,732,352*","$535,693","$55,741,559"
85,NLC2,$0.269443,NoLimitCoin,86,"203,999,664*","$467,220","$54,966,281"
86,UBQ,$1.40,Ubiq,87,"38,437,652","$1,344,290","$53,735,453"
87,PART,$6.68,Particl,88,"7,743,316*","$411,762","$51,724,575"
88,NEBL,$4.14,Neblio,89,"12,476,580*","$391,782","$51,633,203"
89,LRC,$0.176835,Loopring,90,"286,170,756*","$701,684","$50,605,006"
90,NAV,$0.802474,NAV Coin,91,"61,920,478*","$6,149,180","$49,689,574"
91,ATB,$1.29,ATBCoin,92,"38,432,195","$817,964","$49,491,059"
92,ZEN,$20.49,ZenCash,93,"2,309,220","$45,428,300","$47,307,838"
