,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$5572.18,BTCBitcoin,1,"16,645,525","$2,125,650,000","$92,751,861,495"
1,ETH,$295.23,ETHEthereum,2,"95,311,969","$417,952,000","$28,138,857,369"
2,XRP,$0.203836,XRPRipple,3,"38,531,538,922*","$140,160,000","$7,854,114,768"
3,BCH,$325.80,BCHBitcoin Cash,4,"16,712,238","$191,329,000","$5,444,763,416"
4,LTC,$55.05,LTCLitecoin,5,"53,528,482","$136,937,000","$2,946,475,312"
5,DASH,$288.46,DASHDash,6,"7,642,234","$46,311,100","$2,204,448,202"
6,XEM,$0.206072,XEMNEM,7,"8,999,999,999*","$4,121,060","$1,854,648,000"
7,NEO,$29.20,NEONEO,8,"50,000,000*","$52,246,000","$1,460,165,000"
8,BCC,$196.79,BCCBitConnect,9,"7,296,379","$14,522,100","$1,435,868,997"
9,XMR,$86.75,XMRMonero,10,"15,264,760","$26,699,800","$1,324,249,963"
10,MIOTA,$0.434378,MIOTAIOTA,11,"2,779,530,283*","$34,963,300","$1,207,366,805"
11,ETC,$10.45,ETCEthereum Classic,12,"96,795,310","$23,989,300","$1,011,510,989"
12,QTUM,$10.65,QTUMQtum,13,"73,612,488*","$61,119,300","$784,083,416"
13,OMG,$7.66,OMGOmiseGO,14,"98,312,024*","$28,906,000","$752,915,754"
14,ADA,$0.027292,ADACardano,15,"25,927,070,538*","$3,339,900","$707,604,202"
15,XLM,$0.034857,XLMStellar Lumens,16,"16,587,941,140*","$58,486,900","$578,212,499"
16,LSK,$5.03,LSKLisk,17,"113,993,420*","$14,901,900","$572,995,905"
17,ZEC,$208.75,ZECZcash,18,"2,474,044","$31,129,900","$516,466,529"
18,USDT,$1.00,USDTTether,19,"437,061,167*","$192,350,000","$438,118,855"
19,STRAT,$3.93,STRATStratis,20,"98,595,598*","$11,949,500","$387,315,061"
20,WAVES,$3.54,WAVESWaves,21,"100,000,000*","$7,603,040","$353,627,000"
21,HSR,$9.97,HSRHshare,22,"33,767,173","$14,937,900","$336,733,676"
22,ARK,$2.65,ARKArk,23,"97,981,284*","$1,880,140","$259,759,162"
23,BCN,$0.001363,BCNBytecoin,24,"183,253,534,612","$3,508,790","$249,767,238"
24,STEEM,$0.973537,STEEMSteem,25,"244,759,710","$878,214","$238,282,634"
25,EOS,$0.507041,EOSEOS,26,"425,693,870*","$5,849,100","$215,844,245"
26,MONA,$3.83,MONAMonaCoin,27,"54,862,500","$14,321,900","$210,324,171"
27,ARDR,$0.200433,ARDRArdor,28,"998,999,495*","$665,347","$200,232,466"
28,REP,$17.56,REPAugur,29,"11,000,000*","$1,093,190","$193,175,400"
29,PAY,$1.80,PAYTenX,30,"104,661,310*","$2,361,830","$188,745,160"
30,TRX,$0.002882,TRXTRON,31,"65,428,192,465*","$377,807","$188,558,162"
31,KMD,$1.82,KMDKomodo,32,"100,945,510","$2,067,710","$183,877,294"
32,WTC,$7.35,WTCWalton,33,"24,898,178*","$6,631,340","$182,937,122"
33,PIVX,$3.24,PIVXPIVX,34,"55,639,379*","$335,435","$180,175,890"
34,GAS,$20.48,GASGas,35,"8,597,035*","$929,893","$176,097,375"
35,FRST,$13.59,FRSTFirstCoin,36,"12,400,981","$1,824,180","$168,468,573"
36,DCR,$27.93,DCRDecred,37,"6,026,137","$867,748","$168,307,606"
37,GNT,$0.195569,GNTGolem,38,"833,032,000*","$1,935,790","$162,915,235"
38,MTL,$8.01,MTLMetal,39,"19,300,994*","$2,638,520","$154,582,433"
39,MAID,$0.337933,MAIDMaidSafeCoin,40,"452,552,412*","$1,626,850","$152,932,394"
40,BAT,$0.148030,BATBasic Attenti...,41,"1,000,000,000*","$2,010,160","$148,030,000"
41,ATM,$0.050180,ATMATMChain,42,"2,913,534,434*","$1,634,960","$146,202,032"
42,PPT,$3.45,PPTPopulous,43,"41,252,246*","$311,760","$142,134,614"
43,SALT,$2.98,SALTSALT,44,"46,751,837*","$5,614,920","$139,144,220"
44,KNC,$1.03,KNCKyber Network,45,"134,132,697*","$2,224,120","$137,908,532"
45,VTC,$3.38,VTCVertcoin,46,"40,629,250","$16,989,100","$137,278,110"
46,FCT,$15.31,FCTFactom,47,"8,745,102*","$2,574,740","$133,891,010"
47,GAME,$2.05,GAMEGameCredits,48,"64,355,352","$3,473,140","$132,104,162"
48,BTS,$0.050405,BTSBitShares,49,"2,600,950,000*","$3,007,280","$131,100,104"
49,ICN,$1.25,ICNIconomi,50,"99,900,350*","$571,293","$125,287,027"
50,REC,$43.23,RECRegalcoin,51,"2,810,000","$4,314,780","$121,477,143"
51,BNB,$1.23,BNBBinance Coin,52,"99,014,000*","$3,771,780","$121,378,292"
52,DGD,$60.02,DGDDigixDAO,53,"2,000,000*","$123,132","$120,039,800"
53,SC,$0.003917,SCSiacoin,54,"30,370,842,174","$2,281,060","$118,948,314"
54,VERI,$58.52,VERIVeritaseum,55,"2,026,045*","$626,533","$118,571,270"
55,DOGE,$0.001058,DOGEDogecoin,56,"111,643,818,511","$2,701,130","$118,161,585"
56,BTCD,$85.39,BTCDBitcoinDark,57,"1,288,862","$52,736","$110,055,942"
57,GBYTE,$185.90,GBYTEByteball Bytes,58,"583,896*","$243,032","$108,547,526"
58,ETP,$4.72,ETPMetaverse ETP,59,"22,600,000","$8,954,900","$106,702,510"
59,CVC,$0.311072,CVCCivic,60,"340,200,000*","$3,568,180","$105,826,694"
60,SMART,$0.138505,SMARTSmartCash,61,"753,836,854*","$413,235","$104,410,173"
