,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$6560.51,BTCBitcoin,1,"16,657,975","$2,756,600,000","$109,284,811,567"
1,ETH,$302.70,ETHEthereum,2,"95,457,856","$480,718,000","$28,894,806,599"
2,BCH,$490.87,BCHBitcoin Cash,3,"16,752,325","$963,780,000","$8,223,130,011"
3,XRP,$0.198847,XRPRipple,4,"38,531,538,922*","$54,933,800","$7,661,880,920"
4,LTC,$54.97,LTCLitecoin,5,"53,634,532","$108,504,000","$2,948,123,977"
5,DASH,$275.10,DASHDash,6,"7,656,394","$51,944,200","$2,106,258,581"
6,BCC,$243.28,BCCBitConnect,7,"7,344,815","$21,519,600","$1,786,817,248"
7,NEO,$27.30,NEONEO,8,"65,000,000*","$68,320,500","$1,774,532,500"
8,XEM,$0.177567,XEMNEM,9,"8,999,999,999*","$6,174,080","$1,598,103,000"
9,XMR,$86.29,XMRMonero,10,"15,295,792","$33,857,500","$1,319,821,854"
10,MIOTA,$0.374837,MIOTAIOTA,11,"2,779,530,283*","$9,606,720","$1,041,870,793"
11,ETC,$10.61,ETCEthereum Classic,12,"97,021,900","$28,526,600","$1,029,266,528"
12,QTUM,$10.27,QTUMQtum,13,"73,629,552*","$27,208,500","$755,895,707"
13,ADA,$0.025231,ADACardano,14,"25,927,070,538*","$9,401,380","$654,163,324"
14,OMG,$6.28,OMGOmiseGO,15,"98,312,024*","$32,936,700","$616,937,444"
15,ZEC,$227.75,ZECZcash,16,"2,525,356","$41,866,400","$575,149,886"
16,LSK,$4.50,LSKLisk,17,"114,302,600*","$9,420,350","$514,550,299"
17,XLM,$0.027944,XLMStellar Lumens,18,"16,588,212,981*","$15,125,000","$463,536,047"
18,USDT,$0.999202,USDTTether,19,"452,061,667*","$229,970,000","$451,700,922"
19,EOS,$0.831110,EOSEOS,20,"441,734,085*","$26,337,200","$367,129,615"
20,HSR,$10.24,HSRHshare,21,"33,767,173","$26,000,800","$345,620,520"
21,STRAT,$3.30,STRATStratis,22,"98,604,865*","$11,044,000","$325,227,441"
22,WAVES,$3.02,WAVESWaves,23,"100,000,000*","$11,884,400","$302,127,000"
