,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$7511.36,BTCBitcoin,1,"16,665,187","$2,278,310,000","$125,178,219,024"
1,ETH,$296.64,ETHEthereum,2,"95,541,741","$333,466,000","$28,341,693,087"
2,BCH,$579.71,BCHBitcoin Cash,3,"16,763,650","$622,044,000","$9,717,971,723"
3,XRP,$0.201658,XRPRipple,4,"38,531,538,922*","$46,599,900","$7,770,193,076"
4,LTC,$54.96,LTCLitecoin,5,"53,692,807","$79,824,800","$2,950,886,893"
5,DASH,$271.48,DASHDash,6,"7,670,547","$39,419,000","$2,082,415,503"
6,NEO,$26.27,NEONEO,7,"65,000,000*","$26,210,600","$1,707,693,000"
7,XEM,$0.166068,XEMNEM,8,"8,999,999,999*","$4,027,710","$1,494,612,000"
8,ETC,$14.19,ETCEthereum Classic,9,"97,153,183","$297,111,000","$1,378,885,411"
9,XMR,$86.38,XMRMonero,10,"15,313,374","$25,178,700","$1,322,697,290"
10,MIOTA,$0.358197,MIOTAIOTA,11,"2,779,530,283*","$13,202,400","$995,619,409"
11,QTUM,$10.17,QTUMQtum,12,"73,639,388*","$46,355,400","$748,728,477"
12,OMG,$6.23,OMGOmiseGO,13,"98,312,024*","$11,764,400","$612,209,619"
13,BCC,$278.99,BCCBitConnect,14,"2,138,092","$15,167,400","$596,514,839"
14,ZEC,$228.92,ZECZcash,15,"2,554,844","$36,394,100","$584,854,831"
15,ADA,$0.021678,ADACardano,16,"25,927,070,538*","$1,941,260","$562,057,406"
16,LSK,$4.49,LSKLisk,17,"114,480,790*","$6,982,920","$513,565,403"
17,USDT,$1.00,USDTTether,18,"494,061,667*","$222,148,000","$494,264,233"
18,EOS,$1.08,EOSEOS,19,"449,598,583*","$35,838,100","$483,911,947"
19,XLM,$0.026821,XLMStellar Lumens,20,"16,588,214,481*","$9,190,410","$444,905,865"
20,WAVES,$3.48,WAVESWaves,21,"100,000,000*","$10,804,000","$348,132,000"
21,HSR,$9.93,HSRHshare,22,"33,600,000","$13,724,900","$333,489,072"
22,STRAT,$2.98,STRATStratis,23,"98,610,196*","$5,968,460","$293,877,121"
23,KMD,$2.48,KMDKomodo,24,"100,945,510","$1,327,950","$250,305,496"
24,BCN,$0.001268,BCNBytecoin,25,"183,253,534,612","$2,191,860","$232,392,970"
25,ARK,$2.34,ARKArk,26,"97,981,284*","$3,034,180","$228,827,450"
26,STEEM,$0.882699,STEEMSteem,27,"245,740,002","$672,206","$216,914,454"
27,ARDR,$0.200371,ARDRArdor,28,"998,999,495*","$321,667","$200,170,528"
28,REP,$16.44,REPAugur,29,"11,000,000*","$1,891,220","$180,863,100"
29,PIVX,$3.23,PIVXPIVX,30,"54,640,838*","$1,498,720","$176,636,890"
30,DCR,$27.55,DCRDecred,31,"6,100,222","$793,706","$168,081,238"
31,PAY,$1.59,PAYTenX,32,"104,661,310*","$1,411,280","$166,895,018"
32,GNT,$0.190877,GNTGolem,33,"833,032,000*","$2,021,290","$159,006,649"
33,BTS,$0.059768,BTSBitShares,34,"2,601,490,000*","$2,950,120","$155,486,114"
34,PPT,$3.66,PPTPopulous,35,"41,252,246*","$319,453","$150,973,732"
35,VTC,$3.66,VTCVertcoin,36,"40,955,050","$16,916,600","$150,090,429"
36,MAID,$0.330886,MAIDMaidSafeCoin,37,"452,552,412*","$1,311,390","$149,743,257"
37,BNB,$1.51,BNBBinance Coin,38,"99,014,000*","$2,772,460","$149,125,976"
38,GAS,$16.74,GASGas,39,"8,597,035*","$399,433","$143,884,283"
39,BAT,$0.141814,BATBasic Attenti...,40,"1,000,000,000*","$1,234,270","$141,814,000"
40,TRX,$0.002162,TRXTRON,41,"65,528,192,465*","$1,785,400","$141,696,853"
41,MONA,$2.53,MONAMonaCoin,42,"55,119,725","$1,921,250","$139,208,172"
42,BTCD,$107.84,BTCDBitcoinDark,43,"1,288,862","$50,848","$138,994,765"
43,KNC,$1.01,KNCKyber Network,44,"134,132,697*","$1,572,190","$136,103,106"
44,DOGE,$0.001201,DOGEDogecoin,45,"111,797,256,602","$1,842,160","$134,283,039"
45,DGD,$65.53,DGDDigixDAO,46,"2,000,000*","$126,689","$131,054,000"
46,XVG,$0.008658,XVGVerge,47,"14,197,294,320","$6,345,560","$122,924,859"
47,FCT,$13.92,FCTFactom,48,"8,745,102*","$4,612,080","$121,731,820"
48,WTC,$4.87,WTCWalton,49,"24,898,178*","$3,596,660","$121,132,375"
49,SALT,$2.52,SALTSALT,50,"46,751,837*","$3,553,810","$117,582,273"
50,VERI,$55.22,VERIVeritaseum,51,"2,026,045*","$249,281","$111,885,320"
51,BTM,$0.111945,BTMBytom,52,"987,000,000*","$528,097","$110,489,715"
52,SNT,$0.031429,SNTStatus,53,"3,470,483,788*","$2,426,180","$109,073,835"
53,ICN,$1.08,ICNIconomi,54,"99,788,314*","$480,560","$108,080,723"
54,GBYTE,$167.02,GBYTEByteball Bytes,55,"645,222*","$1,499,360","$107,764,342"
55,SC,$0.003490,SCSiacoin,56,"30,632,058,597","$775,406","$106,913,849"
56,SNGLS,$0.176456,SNGLSSingularDTV,57,"600,000,000*","$3,775,480","$105,873,600"
57,GAME,$1.63,GAMEGameCredits,58,"64,355,352","$588,541","$104,702,296"
58,SYS,$0.195469,SYSSyscoin,59,"528,663,262","$1,531,120","$103,337,279"
59,GXS,$2.46,GXSGXShares,60,"40,510,000*","$513,180","$99,700,376"
60,LKK,$0.367158,LKKLykke,61,"269,113,157*","$117,031","$98,807,049"
61,CVC,$0.286406,CVCCivic,62,"342,700,000*","$794,987","$98,151,336"
62,BTX,$8.62,BTXBitcore,63,"11,204,574","$204,441","$96,583,200"
63,MTL,$4.87,MTLMetal,64,"19,300,994*","$1,519,640","$93,910,144"
64,BLOCK,$19.14,BLOCKBlocknet,65,"4,872,246*","$126,981","$93,253,329"
65,AE,$0.391524,AEAeternity,66,"233,020,472*","$973,231","$91,233,107"
66,ZRX,$0.176692,ZRX0x,67,"500,000,000*","$1,153,410","$88,346,000"
67,DGB,$0.008485,DGBDigiByte,68,"9,361,325,385","$1,296,370","$79,428,786"
68,BNT,$1.86,BNTBancor,69,"40,772,871*","$2,092,920","$75,913,785"
69,GNO,$64.75,GNOGnosis,70,"1,104,590*","$802,206","$71,518,226"
70,ATM,$0.023087,ATMATMChain,71,"2,913,534,434*","$184,264","$67,265,935"
71,PURA,$0.390730,PURAPura,72,"171,701,233","$127,057","$67,088,823"
72,ETP,$2.95,ETPMetaverse ETP,73,"22,600,000","$3,302,280","$66,606,720"
73,PART,$8.46,PARTParticl,74,"7,761,565*","$310,665","$65,633,342"
74,KCS,$0.713248,KCSKuCoin Shares,75,"91,043,076*","$912,706","$64,936,292"
75,LINK,$0.174557,LINKChainLink,76,"350,000,000*","$1,106,380","$61,094,950"
76,FUN,$0.015255,FUNFunFair,77,"4,000,000,000*","$772,992","$61,022,000"
77,BQX,$0.823312,BQXBitquence,78,"71,890,616*","$655,034","$59,188,407"
78,VEN,$0.213062,VENVeChain,79,"277,162,633*","$494,822","$59,052,825"
79,MCAP,$1.48,MCAPMCAP,80,"38,295,641*","$655,365","$56,742,268"
80,MCO,$5.74,MCOMonaco,81,"9,814,875*","$2,610,890","$56,344,941"
81,NXT,$0.055781,NXTNxt,82,"998,999,942*","$2,000,760","$55,725,416"
82,GRS,$0.761341,GRSGroestlcoin,83,"68,738,059","$20,070,600","$52,333,102"
83,NEBL,$4.07,NEBLNeblio,84,"12,521,756*","$233,435","$50,976,444"
84,STORJ,$0.498532,STORJStorj,85,"101,604,477*","$3,113,880","$50,653,083"
85,BDL,$0.319312,BDLBitdeal,86,"156,209,812","$125,855","$49,879,667"
86,NAV,$0.793024,NAVNAV Coin,87,"61,992,236*","$975,285","$49,161,331"
87,NXS,$0.916727,NXSNexus,88,"53,563,784","$303,127","$49,103,367"
88,XZC,$14.50,XZCZCoin,89,"3,368,346","$758,164","$48,853,821"
89,ZEN,$20.12,ZENZenCash,90,"2,415,393","$1,478,080","$48,596,744"
90,FAIR,$0.909204,FAIRFairCoin,91,"53,193,831*","$104,451","$48,364,044"
91,BQ,$0.031157,BQbitqy,92,"1,515,796,504*","$60,851","$47,226,914"
92,NLC2,$0.223237,NLC2NoLimitCoin,93,"204,204,993*","$124,697","$45,586,110"
93,SMART,$0.054009,SMARTSmartCash,94,"834,263,652*","$95,065","$45,057,829"
94,ADX,$0.799286,ADXAdEx,95,"56,355,501*","$1,183,270","$45,044,163"
95,RLC,$0.565310,RLCiExec RLC,96,"79,070,793*","$341,864","$44,699,510"
96,LRC,$0.155615,LRCLoopring,97,"286,170,756*","$493,287","$44,532,462"
97,UBQ,$1.13,UBQUbiq,98,"38,690,049","$243,556","$43,620,322"
98,EDG,$0.511400,EDGEdgeless,99,"82,046,288*","$551,678","$41,958,472"
99,ANT,$1.21,ANTAragon,100,"32,685,221*","$583,391","$39,521,662"
100,TAAS,$4.62,TAASTaaS,101,"8,146,001*","$425,913","$37,641,936"
101,KIN,$0.000050,KINKin,102,"756,097,560,976*","$26,750","$37,517,863"
102,WINGS,$0.411452,WINGSWings,103,"89,708,333*","$385,345","$36,910,673"
103,AST,$0.244384,ASTAirSwap,104,"150,000,000*","$1,818,940","$36,657,600"
104,IOC,$2.23,IOCI/O Coin,105,"16,377,950*","$86,025","$36,525,450"
105,VIA,$1.59,VIAViacoin,106,"22,881,155","$683,775","$36,475,765"
106,MLN,$58.15,MLNMelon,107,"599,400*","$409,318","$34,855,889"
107,PPC,$1.40,PPCPeercoin,108,"24,421,472","$504,769","$34,168,082"
108,MDA,$1.65,MDAMoeda Loyalty...,109,"19,628,888*","$693,000","$32,373,140"
109,RDD,$0.001127,RDDReddCoin,110,"28,656,221,646*","$326,996","$32,296,421"
110,AMB,$0.215605,AMBAmber,111,"144,590,975*","$57,661","$31,174,537"
111,NLG,$0.087116,NLGGulden,112,"355,700,645","$219,690","$30,987,111"
112,QRL,$0.593019,QRLQuantum Resis...,113,"52,000,000*","$148,152","$30,836,988"
113,XCP,$11.77,XCPCounterparty,114,"2,617,523*","$238,628","$30,813,475"
114,DCN,$0.000094,DCNDentacoin,115,"323,507,001,026*","$15,159","$30,453,105"
115,MOD,$1.75,MODModum,116,"17,366,200*","$1,545,260","$30,443,296"
116,LEO,$0.327922,LEOLEOcoin,117,"92,746,794*","$967,163","$30,413,714"
117,SNM,$0.082913,SNMSONM,118,"359,600,000*","$629,677","$29,815,551"
118,RISE,$0.262133,RISERise,119,"113,139,200*","$1,006,190","$29,657,518"
119,MANA,$0.012703,MANADecentraland,120,"2,273,755,650*","$532,415","$28,884,655"
120,ENG,$0.377241,ENGEnigma,121,"74,836,171*","$396,947","$28,231,272"
121,MGO,$0.285359,MGOMobileGo,122,"98,028,887*","$342,338","$27,973,425"
122,ATB,$0.704684,ATBATBCoin,123,"38,798,059","$1,027,430","$27,340,372"
123,CFI,$0.083428,CFICofound.it,124,"325,000,000*","$163,719","$27,113,970"
124,REQ,$0.042529,REQRequest Network,125,"636,000,000*","$501,827","$27,048,444"
125,CTR,$0.382026,CTRCentra,126,"68,000,000*","$1,000,240","$25,977,768"
126,1ST,$0.299637,1STFirstBlood,127,"85,558,371*","$376,532","$25,636,453"
127,XEL,$0.286617,XELElastic,128,"87,315,492*","$1,721,190","$25,026,104"
