,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$7129.43,BTCBitcoin,1,"16,660,637","$4,611,410,000","$118,780,845,247"
1,ETH,$287.33,ETHEthereum,2,"95,484,331","$891,962,000","$27,435,703,893"
2,BCH,$599.30,BCHBitcoin Cash,3,"16,753,650","$1,706,520,000","$10,040,495,952"
3,XRP,$0.195064,XRPRipple,4,"38,531,538,922*","$165,667,000","$7,516,116,108"
4,LTC,$54.09,LTCLitecoin,5,"53,651,657","$197,417,000","$2,902,044,973"
5,DASH,$265.72,DASHDash,6,"7,658,983","$72,668,700","$2,035,114,268"
6,BCC,$265.36,BCCBitConnect,7,"7,357,118","$24,211,000","$1,952,284,959"
7,NEO,$24.98,NEONEO,8,"65,000,000*","$76,454,600","$1,623,524,500"
8,XEM,$0.165668,XEMNEM,9,"8,999,999,999*","$9,201,570","$1,491,012,000"
9,XMR,$84.51,XMRMonero,10,"15,301,123","$49,799,800","$1,293,156,052"
10,MIOTA,$0.371309,MIOTAIOTA,11,"2,779,530,283*","$21,030,300","$1,032,064,610"
11,ETC,$10.10,ETCEthereum Classic,12,"97,062,803","$39,679,000","$980,712,855"
12,QTUM,$9.53,QTUMQtum,13,"73,632,640*","$54,001,900","$701,769,129"
13,OMG,$6.41,OMGOmiseGO,14,"98,312,024*","$57,336,100","$630,264,622"
14,ADA,$0.022597,ADACardano,15,"25,927,070,538*","$6,271,970","$585,884,384"
15,ZEC,$217.89,ZECZcash,16,"2,534,769","$51,770,000","$552,295,693"
16,EOS,$1.15,EOSEOS,17,"444,188,085*","$75,541,100","$511,211,625"
17,LSK,$4.34,LSKLisk,18,"114,359,010*","$14,399,200","$496,375,283"
18,XLM,$0.027385,XLMStellar Lumens,19,"16,588,214,481*","$35,270,100","$454,274,889"
19,USDT,$1.00,USDTTether,20,"452,061,667*","$435,314,000","$452,305,781"
20,HSR,$9.81,HSRHshare,21,"33,767,173","$25,580,000","$331,091,181"
21,WAVES,$3.08,WAVESWaves,22,"100,000,000*","$12,036,600","$308,054,000"
22,STRAT,$2.77,STRATStratis,23,"98,606,553*","$21,012,500","$273,529,648"
